date,symbol,open,high,low,close,volume,exchange,MA20,Upper,Lower,Signal,Holding,Returns,Cumulative Returns
2023-02-28 00:00:00+00:00,AAPL,147.05,149.075,146.87,147.41,50145937,XNAS,,,,,,,
2023-02-27 00:00:00+00:00,AAPL,147.71,149.17,147.45,147.92,44950000,XNAS,,,,,,,
2023-02-24 00:00:00+00:00,AAPL,147.11,147.19,145.72,146.71,55418200,XNAS,,,,,,,
2023-02-23 00:00:00+00:00,AAPL,150.09,150.34,147.24,149.4,48349600,XNAS,,,,,,,
2023-02-22 00:00:00+00:00,AAPL,148.87,149.95,147.16,148.91,50939700,XNAS,,,,,,,
2023-02-21 00:00:00+00:00,AAPL,150.2,151.3,148.41,148.48,58772400,XNAS,,,,,,,
2023-02-17 00:00:00+00:00,AAPL,152.35,153.0,150.85,152.55,59144118,XNAS,,,,,,,
2023-02-16 00:00:00+00:00,AAPL,153.51,156.33,153.35,153.71,68031000,XNAS,,,,,,,
2023-02-15 00:00:00+00:00,AAPL,153.11,155.5,152.88,155.33,65573800,XNAS,,,,,,,
2023-02-14 00:00:00+00:00,AAPL,152.12,153.77,150.87,153.2,61707573,XNAS,,,,,,,
2023-02-13 00:00:00+00:00,AAPL,150.952,154.26,150.92,153.85,62199013,XNAS,,,,,,,
2023-02-10 00:00:00+00:00,AAPL,149.46,151.34,149.22,151.01,57409100,XNAS,,,,,,,
2023-02-09 00:00:00+00:00,AAPL,153.78,154.33,150.42,150.87,55921800,XNAS,,,,,,,
2023-02-08 00:00:00+00:00,AAPL,153.88,154.58,151.17,151.92,64038100,XNAS,,,,,,,
2023-02-07 00:00:00+00:00,AAPL,150.64,155.23,150.64,154.65,83206400,XNAS,,,,,,,
2023-02-06 00:00:00+00:00,AAPL,152.57,153.1,150.78,151.73,69769900,XNAS,,,,,,,
2023-02-03 00:00:00+00:00,AAPL,148.03,157.38,147.83,154.5,154279900,XNAS,,,,,,,
2023-02-02 00:00:00+00:00,AAPL,148.9,151.18,148.17,150.82,116868600,XNAS,,,,,,,
2023-02-01 00:00:00+00:00,AAPL,143.97,146.61,141.32,145.43,77310900,XNAS,,,,,,,
2023-01-31 00:00:00+00:00,AAPL,142.7,144.34,142.28,144.29,60339047,XNAS,150.6345,156.89378901713286,144.37521098286715,,,,
2023-01-30 00:00:00+00:00,AAPL,144.96,145.55,142.85,143.0,63947600,XNAS,150.41400000000002,157.38263372548738,143.44536627451265,1,1.0,,
2023-01-27 00:00:00+00:00,AAPL,143.16,147.23,143.08,145.93,70492800,XNAS,150.3145,157.47686685740126,143.15213314259876,,1.0,0.020489510489510643,1.0204895104895106
2023-01-26 00:00:00+00:00,AAPL,143.17,144.25,141.9,143.96,54003800,XNAS,150.177,157.7070281539978,142.64697184600217,,1.0,-0.013499623106969061,1.0067132867132869
2023-01-25 00:00:00+00:00,AAPL,140.89,142.43,138.81,141.86,65652500,XNAS,149.8,158.1574254408879,141.44257455911213,1,1.0,-0.014587385384829066,0.9920279720279722
2023-01-24 00:00:00+00:00,AAPL,140.31,143.16,140.3,142.53,66081800,XNAS,149.481,158.41697649952147,140.54502350047852,,1.0,0.004722966304807397,0.9967132867132867
2023-01-23 00:00:00+00:00,AAPL,138.12,143.32,137.9,141.11,81698400,XNAS,149.1125,158.76251735749736,139.46248264250266,,1.0,-0.009962814845997259,0.9867832167832169
2023-01-20 00:00:00+00:00,AAPL,135.28,138.02,134.22,137.87,79972200,XNAS,148.37849999999997,159.05011145282188,137.70688854717807,1,1.0,-0.022960810715045077,0.9641258741258741
